transect,pointID,year,month,day,date,day.of.year,start_time,species_code,species_common_name,TTFD,abundance3.3,abundance6.6,abundance10,vocalization,comments,latitude,longitude,elevation,ecoregion,temperature,sky,wind,sound.quality,observer,observer_code,observer_id,transcriber.comments,transcription.method,max.species.individuals,survey_duration
Cavell,Cavell1,2011,7,10,7/10/2011,191,4:57:00 AM,PAWR,Pacific Wren,1.4,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.7,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2011,7,10,7/10/2011,191,4:57:00 AM,HETH,Hermit Thrush,0.04,2,2,2,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.7,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2013,6,26,6/26/2013,177,5:08:00 AM,MOCH,Mountain Chickadee,3.28,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.9,broken,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2013,6,26,6/26/2013,177,5:08:00 AM,RCKI,Ruby-crowned Kinglet,1.52,1,0,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.9,broken,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2013,6,26,6/26/2013,177,5:08:00 AM,VATH,Varied Thrush,0.04,3,3,3,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.9,broken,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2013,6,26,6/26/2013,177,5:08:00 AM,YRWA,Yellow-rumped Warbler,0.02,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.9,broken,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2013,6,26,6/26/2013,177,5:08:00 AM,FOSP,Fox Sparrow,0.11,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,8.9,broken,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2014,6,23,6/23/2014,174,4:58:00 AM,HETH,Hermit Thrush,1.56,1,2,2,Singing,NA,52.682,-118.04,2004,Upper Subalpine,5.5,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2014,6,23,6/23/2014,174,4:58:00 AM,VATH,Varied Thrush,0,2,2,2,Singing,NA,52.682,-118.04,2004,Upper Subalpine,5.5,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2014,6,23,6/23/2014,174,4:58:00 AM,YRWA,Yellow-rumped Warbler,0.04,2,2,2,Singing,NA,52.682,-118.04,2004,Upper Subalpine,5.5,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2015,6,26,6/26/2015,177,4:55:00 AM,FOSP,Fox Sparrow,7.38,0,0,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,7.4,broken,2.8,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2015,6,26,6/26/2015,177,4:55:00 AM,GCKI,Golden-crowned Kinglet,1.45,1,1,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,7.4,broken,2.8,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2015,6,26,6/26/2015,177,4:55:00 AM,HETH,Hermit Thrush,6.14,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,7.4,broken,2.8,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2015,6,26,6/26/2015,177,4:55:00 AM,VATH,Varied Thrush,0.01,3,3,4,Singing,NA,52.682,-118.04,2004,Upper Subalpine,7.4,broken,2.8,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2015,6,26,6/26/2015,177,4:55:00 AM,WCSP,White-crowned Sparrow,6.27,0,1,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,7.4,broken,2.8,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2015,6,26,6/26/2015,177,4:55:00 AM,YRWA,Yellow-rumped Warbler,1.08,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,7.4,broken,2.8,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2015,6,26,6/26/2015,177,4:55:00 AM,PAWR,Pacific Wren,0.03,1,1,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,7.4,broken,2.8,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2016,7,5,7/5/2016,187,5:07:00 AM,PAWR,Pacific Wren,0.02,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,4.2,broken,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2016,7,5,7/5/2016,187,5:07:00 AM,PISI,Pine Siskin,2.06,1,0,0,Calling,NA,52.682,-118.04,2004,Upper Subalpine,4.2,broken,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2016,7,5,7/5/2016,187,5:07:00 AM,CHSP,Chipping Sparrow,0.55,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,4.2,broken,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2016,7,5,7/5/2016,187,5:07:00 AM,VATH,Varied Thrush,0.05,1,2,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,4.2,broken,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2016,7,5,7/5/2016,187,5:07:00 AM,YRWA,Yellow-rumped Warbler,0.33,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,4.2,broken,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2016,7,5,7/5/2016,187,5:07:00 AM,HETH,Hermit Thrush,0,3,2,2,Singing,NA,52.682,-118.04,2004,Upper Subalpine,4.2,broken,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2018,6,27,6/27/2018,178,5:14:00 AM,HETH,Hermit Thrush,5.53,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.9,broken,1,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2018,6,27,6/27/2018,178,5:14:00 AM,YRWA,Yellow-rumped Warbler,0.36,1,0,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.9,broken,1,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2018,6,27,6/27/2018,178,5:14:00 AM,VATH,Varied Thrush,0,2,2,2,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.9,broken,1,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2018,6,27,6/27/2018,178,5:14:00 AM,RCKI,Ruby-crowned Kinglet,7.19,0,0,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,6.9,broken,1,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2018,6,27,6/27/2018,178,5:14:00 AM,PISI,Pine Siskin,0.04,1,0,1,Calling,NA,52.682,-118.04,2004,Upper Subalpine,6.9,broken,1,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2019,6,26,6/26/2019,177,4:59:00 AM,AMRO,American Robin,4.37,0,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,3,clear,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2019,6,26,6/26/2019,177,4:59:00 AM,HETH,Hermit Thrush,0.02,2,2,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,3,clear,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2019,6,26,6/26/2019,177,4:59:00 AM,VATH,Varied Thrush,0,4,4,4,Singing,NA,52.682,-118.04,2004,Upper Subalpine,3,clear,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2019,6,26,6/26/2019,177,4:59:00 AM,PAWR,Pacific Wren,0,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,3,clear,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2019,6,26,6/26/2019,177,4:59:00 AM,FOSP,Fox Sparrow,0.21,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,3,clear,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2019,6,26,6/26/2019,177,4:59:00 AM,PISI,Pine Siskin,1.09,1,0,0,Calling,NA,52.682,-118.04,2004,Upper Subalpine,3,clear,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2020,6,30,6/30/2020,182,4:58:00 AM,DEJU,Dark-eyed Junco,1.27,1,0,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,5,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2020,6,30,6/30/2020,182,4:58:00 AM,AMRO,American Robin,0.08,1,1,1,Singing,NA,52.682,-118.04,2004,Upper Subalpine,5,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2020,6,30,6/30/2020,182,4:58:00 AM,VATH,Varied Thrush,0.01,4,4,4,Singing,says 4:58am Jun 30,52.682,-118.04,2004,Upper Subalpine,5,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2020,6,30,6/30/2020,182,4:58:00 AM,FOSP,Fox Sparrow,0.05,1,1,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,5,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell1,2021,6,29,6/29/2021,180,5:00:00 AM,VATH,Varied Thrush,0.34,2,0,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,17.2,clear,2.1,NA,Steve Ogle,SO,30,NA,600s 1SPT,3,10
Cavell,Cavell1,2021,6,29,6/29/2021,180,5:00:00 AM,PIGR,Pine Grosbeak,9.04,0,0,1,Calling,NA,52.682,-118.04,2004,Upper Subalpine,17.2,clear,2.1,NA,Steve Ogle,SO,30,NA,600s 1SPT,3,10
Cavell,Cavell1,2021,6,29,6/29/2021,180,5:00:00 AM,PAWR,Pacific Wren,0,2,0,0,Singing,merged with another one,52.682,-118.04,2004,Upper Subalpine,17.2,clear,2.1,NA,Steve Ogle,SO,30,NA,600s 1SPT,3,10
Cavell,Cavell1,2021,6,29,6/29/2021,180,5:00:00 AM,HETH,Hermit Thrush,0.02,1,0,0,Singing,NA,52.682,-118.04,2004,Upper Subalpine,17.2,clear,2.1,NA,Steve Ogle,SO,30,NA,600s 1SPT,3,10
Cavell,Cavell1,2021,6,29,6/29/2021,180,5:00:00 AM,FOSP,Fox Sparrow,0,1,0,0,Singing,x,52.682,-118.04,2004,Upper Subalpine,17.2,clear,2.1,NA,Steve Ogle,SO,30,NA,600s 1SPT,3,10
Cavell,Cavell10,2008,6,29,6/29/2008,181,9:28:00 AM,FOSP,Fox Sparrow,4.23,0,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,22.1,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2008,6,29,6/29/2008,181,9:28:00 AM,GCSP,Golden-crowned Sparrow,1.05,1,1,0,Singing,NA,52.685,-118.035,2114,Upper Subalpine,22.1,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2008,6,29,6/29/2008,181,9:28:00 AM,PISI,Pine Siskin,0.05,1,1,1,Calling,NA,52.685,-118.035,2114,Upper Subalpine,22.1,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2008,6,29,6/29/2008,181,9:28:00 AM,RBNU,Red-breasted Nuthatch,0.02,1,0,0,Calling,NA,52.685,-118.035,2114,Upper Subalpine,22.1,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2008,6,29,6/29/2008,181,9:28:00 AM,CLNU,Clark's Nutcracker,1.16,1,1,0,Calling,NA,52.685,-118.035,2114,Upper Subalpine,22.1,clear,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2009,6,30,6/30/2009,181,10:04:00 AM,AMRO,American Robin,0.5,1,0,0,Singing,NA,52.685,-118.035,2114,Upper Subalpine,9.6,scattered,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2010,7,9,7/9/2010,190,9:53:00 AM,RCKI,Ruby-crowned Kinglet,0.01,1,1,0,Singing,NA,52.685,-118.035,2114,Upper Subalpine,20.3,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2010,7,9,7/9/2010,190,9:53:00 AM,VATH,Varied Thrush,0.16,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,20.3,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2010,7,9,7/9/2010,190,9:53:00 AM,YRWA,Yellow-rumped Warbler,4.28,0,1,0,Singing,NA,52.685,-118.035,2114,Upper Subalpine,20.3,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2010,7,9,7/9/2010,190,9:53:00 AM,DEJU,Dark-eyed Junco,6.3,0,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,20.3,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2010,7,9,7/9/2010,190,9:53:00 AM,FOSP,Fox Sparrow,4.57,0,1,0,Singing,NA,52.685,-118.035,2114,Upper Subalpine,20.3,scattered,0,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2011,7,10,7/10/2011,191,9:02:00 AM,PAWR,Pacific Wren,5.49,0,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,8.9,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2011,7,10,7/10/2011,191,9:02:00 AM,VATH,Varied Thrush,2.13,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,8.9,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2011,7,10,7/10/2011,191,9:02:00 AM,HETH,Hermit Thrush,0.43,1,2,2,Singing,NA,52.685,-118.035,2114,Upper Subalpine,8.9,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2011,7,10,7/10/2011,191,9:02:00 AM,GCSP,Golden-crowned Sparrow,9.03,0,0,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,8.9,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2011,7,10,7/10/2011,191,9:02:00 AM,FOSP,Fox Sparrow,2.33,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,8.9,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2011,7,10,7/10/2011,191,9:02:00 AM,AMRO,American Robin,9.3,0,0,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,8.9,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2011,7,10,7/10/2011,191,9:02:00 AM,AMPI,American Pipit,8.41,0,0,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,8.9,overcast,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2013,6,26,6/26/2013,177,9:39:00 AM,PAWR,Pacific Wren,0.33,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,12,scattered,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2013,6,26,6/26/2013,177,9:39:00 AM,RCKI,Ruby-crowned Kinglet,0.01,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,12,scattered,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2013,6,26,6/26/2013,177,9:39:00 AM,VATH,Varied Thrush,1.09,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,12,scattered,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2013,6,26,6/26/2013,177,9:39:00 AM,YRWA,Yellow-rumped Warbler,5.33,0,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,12,scattered,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2013,6,26,6/26/2013,177,9:39:00 AM,HETH,Hermit Thrush,4.29,0,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,12,scattered,0,Good,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2014,6,23,6/23/2014,174,9:49:00 AM,YRWA,Yellow-rumped Warbler,0.07,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,14.3,clear,2.5,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2014,6,23,6/23/2014,174,9:49:00 AM,FOSP,Fox Sparrow,0.03,1,0,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,14.3,clear,2.5,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2014,6,23,6/23/2014,174,9:49:00 AM,PISI,Pine Siskin,2.13,1,0,0,Calling,NA,52.685,-118.035,2114,Upper Subalpine,14.3,clear,2.5,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2014,6,23,6/23/2014,174,9:49:00 AM,RCKI,Ruby-crowned Kinglet,0,1,1,1,Calling,NA,52.685,-118.035,2114,Upper Subalpine,14.3,clear,2.5,Moderate,Cam Gillies,CG,28,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2015,6,26,6/26/2015,177,10:06:00 AM,PISI,Pine Siskin,0,2,2,2,Calling,NA,52.685,-118.035,2114,Upper Subalpine,17.1,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2015,6,26,6/26/2015,177,10:06:00 AM,TOSO,Townsend's Solitaire,0.35,1,0,0,Calling,NA,52.685,-118.035,2114,Upper Subalpine,17.1,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2015,6,26,6/26/2015,177,10:06:00 AM,HETH,Hermit Thrush,0.02,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,17.1,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2015,6,26,6/26/2015,177,10:06:00 AM,CHSP,Chipping Sparrow,6.49,0,0,1,Calling,NA,52.685,-118.035,2114,Upper Subalpine,17.1,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2015,6,26,6/26/2015,177,10:06:00 AM,YRWA,Yellow-rumped Warbler,0.05,1,1,1,Singing,NA,52.685,-118.035,2114,Upper Subalpine,17.1,scattered,0,Moderate,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2016,7,5,7/5/2016,187,9:55:00 AM,CHSP,Chipping Sparrow,2.02,1,0,0,Singing,NA,52.685,-118.035,2114,Upper Subalpine,4.4,scattered,0,Poor,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
Cavell,Cavell10,2016,7,5,7/5/2016,187,9:55:00 AM,DEJU,Dark-eyed Junco,0,1,1,1,Calling,NA,52.685,-118.035,2114,Upper Subalpine,4.4,scattered,0,Poor,Steve Ogle,SO,30,NA,0-3.33-6.66-10min,999,10
