Point_ID,latitude,longitude,REFERENCE_YEAR,SHRUB_HEIGHT,SHRUB_CROWN_CLOSURE,COVER_PATTERN_CODE,HERB_COVER_TYPE_CODE,HERB_COVER_PCT,HERB_COVER_PATTERN_CODE,CWD_CODE
ELYSIUM-7,52.89613651,-118.281,2020,0.8,40,8,HE,5,3,L
ELYSIUM-8,52.8973342,-118.285,2020,0.8,40,8,HE,5,3,L
ELYSIUM-9,52.89926799,-118.2882,2020,0.5,10,3,HE,5,3,L
FIDDLE-1,53.03090385,-117.5446,2020,1,25,8,HE,15,3,N
FIDDLE-10,53.02978344,-117.5114,2020,0.5,10,3,HE,80,8,
FIDDLE-2,53.03337065,-117.5438,2020,0.5,20,6,HE,25,8,N
FIDDLE-3,53.03512565,-117.5414,2020,0.5,20,6,HE,25,8,N
FIDDLE-4,53.03482281,-117.5368,2020,0.3,5,3,HE,80,8,
FIDDLE-5,53.03556888,-117.5328,2020,0.4,20,3,HE,60,8,N
FIDDLE-6,53.03525498,-117.5286,2020,0.3,5,3,HE,50,6,
FIDDLE-7,53.03396367,-117.5238,2020,0.3,20,6,HE,70,8,
FIDDLE-8,53.03259691,-117.5198,2020,0.5,10,3,HE,80,8,
FIDDLE-9,53.03084568,-117.5153,2020,0.5,10,3,HE,80,8,
MAJESTIC-1,52.74993315,-118.2654,2020,0.6,55,8,HE,20,8,L
MAJESTIC-10,52.73883451,-118.236,2020,0.3,45,9,HE,37,9,
MAJESTIC-2,52.7473159,-118.2638,2020,0.5,37,8,HE,28,8,N
MAJESTIC-3,52.74441962,-118.2622,2020,0.5,37,8,HE,28,8,N
MAJESTIC-4,52.7418069,-118.2602,2020,0.8,55,8,HE,20,3,N
MAJESTIC-5,52.73915847,-118.2581,2020,0.4,55,8,HE,25,8,N
MAJESTIC-6,52.73740196,-118.2534,2020,0.4,55,8,HE,25,8,N
MAJESTIC-7,52.73672135,-118.2489,2020,0.5,45,8,HE,20,8,L
MAJESTIC-8,52.73641842,-118.2443,2020,0.5,37,8,HE,28,8,N
MAJESTIC-9,52.73723206,-118.2413,2020,0.3,45,9,HE,37,9,
MUSHROOM-1,53.06593702,-118.0644,2020,1,20,6,HE,40,8,M
MUSHROOM-2,53.06382302,-118.0674,2020,2,10,3,HG,85,8,N
MUSHROOM-3,53.06123796,-118.0693,2020,2,10,3,HG,85,8,N
MUSHROOM-4,53.05912899,-118.0724,2020,1,20,8,,-99999,0,N
MUSHROOM-5,53.05649699,-118.0757,2020,1,20,3,HG,50,8,N
MUSHROOM-6,53.05637101,-118.0823,2020,0.4,20,6,HG,40,6,N
MUSHROOM-7,53.05832701,-118.0789,2020,0.4,20,6,HG,40,6,N
MUSHROOM-8,53.06098198,-118.0775,2020,0.4,20,6,HG,40,6,N
MUSHROOM-9,53.06283102,-118.0739,2020,0.4,20,6,HG,40,6,N
OPAL-1,52.74501557,-117.614,2020,0.4,10,3,HE,75,8,N
OPAL-10,52.74553207,-117.6236,2020,0.5,25,6,HE,30,6,M
OPAL-2,52.74313476,-117.6109,2020,0.4,10,3,HE,75,8,N
OPAL-3,52.74895314,-117.6123,2020,0.3,20,3,HE,77,8,
OPAL-4,52.75143435,-117.614,2020,0.3,20,3,HE,77,8,
OPAL-5,52.7537931,-117.6168,2020,0.3,10,3,HE,88,8,
OPAL-6,52.75581457,-117.6205,2020,0.3,15,3,HE,35,8,N
OPAL-7,52.7538636,-117.624,2020,-99999,-99999,0,HE,40,6,N
OPAL-8,52.75056448,-117.6222,2020,-99999,-99999,0,HE,50,8,N
OPAL-9,52.7479422,-117.6217,2020,1,20,6,HE,25,6,L
POBOKTAN-1,52.39019914,-117.1802,2020,0.3,46,8,HE,25,8,
POBOKTAN-10,52.38189066,-117.1416,2020,0.5,43,8,HE,35,8,
POBOKTAN-2,52.38869442,-117.1765,2020,0.3,46,8,HE,25,8,
POBOKTAN-3,52.38642468,-117.1732,2020,0.3,46,8,HE,25,8,
POBOKTAN-4,52.38614372,-117.1686,2020,0.4,68,8,HE,12,3,
POBOKTAN-5,52.38628495,-117.1641,2020,0.4,68,8,HE,12,3,
POBOKTAN-6,52.38533814,-117.1596,2020,0.5,43,8,HE,35,8,
POBOKTAN-7,52.38491284,-117.1548,2020,0.5,43,8,HE,35,8,
POBOKTAN-8,52.38404715,-117.1499,2020,0.5,43,8,HE,35,8,
POBOKTAN-9,52.38297335,-117.1458,2020,0.5,43,8,HE,35,8,
PYRAMID-1,52.90577721,-118.0877,2020,0.5,15,8,HE,10,3,L
PYRAMID-10,52.91838745,-118.0642,2020,1.8,20,8,HE,10,3,L
PYRAMID-2,52.90854416,-118.0869,2020,0.7,25,8,HE,10,3,L
PYRAMID-3,52.91173037,-118.0885,2022,1,15,3,HG,10,3,L
PYRAMID-4,52.91401327,-118.0866,2020,1.5,20,8,HE,10,3,L
PYRAMID-5,52.91377002,-118.0817,2020,0.5,35,8,HE,20,8,L
PYRAMID-6,52.91230353,-118.0779,2020,1.5,35,8,HE,5,3,L
PYRAMID-7,52.91329393,-118.0738,2020,1,15,8,HE,10,3,L
PYRAMID-8,52.91309444,-118.069,2020,2,5,8,HE,10,3,L
PYRAMID-9,52.91561128,-118.065,2020,0.5,15,8,HE,20,8,L
SULPHUR-1,53.11740367,-117.7688,2020,0.7,5,3,,-99999,0,L
SULPHUR-2,53.11545504,-117.7657,2020,0.7,5,3,,-99999,0,L
SULPHUR-3,53.11404336,-117.7616,2020,-99999,-99999,0,,-99999,0,L
SULPHUR-4,53.11272724,-117.7579,2020,-99999,-99999,0,,-99999,0,L
SULPHUR-5,53.11099,-117.754,2020,1,25,6,,-99999,0,L
SULPHUR-6,53.11007973,-117.7501,2020,0.8,20,6,,-99999,0,L
SULPHUR-7,53.10938847,-117.7457,2020,1,15,6,HE,20,6,N
SULPHUR-8,53.10872446,-117.7412,2020,1,30,8,,-99999,0,N
SULPHUR-9,53.10779843,-117.7369,2020,1,30,8,,-99999,0,N
SUNWAPTA-1,52.52920252,-117.6404,2020,0.6,40,6,HE,10,3,L
SUNWAPTA-10,52.50596437,-117.6467,2020,1,45,6,,-99999,0,L
SUNWAPTA-2,52.52667697,-117.642,2020,0.6,40,6,HE,10,3,L
SUNWAPTA-3,52.52397163,-117.6435,2020,1,50,8,,-99999,0,L
SUNWAPTA-4,52.52158564,-117.6458,2020,0.6,10,6,,-99999,0,L
SUNWAPTA-5,52.51952872,-117.6487,2020,1,50,8,,-99999,0,L
SUNWAPTA-6,52.51681088,-117.6492,2020,1,50,8,,-99999,0,L
SUNWAPTA-7,52.51386984,-117.6495,2020,1,50,8,,-99999,0,L
SUNWAPTA-8,52.51134303,-117.6479,2020,0.8,55,8,,-99999,0,L
SUNWAPTA-9,52.50861942,-117.6478,2020,1,45,6,,-99999,0,L
TEKARRA-1,52.86128506,-118.0599,2020,0.5,65,9,HE,15,8,L
TEKARRA-10,52.85945294,-118.0424,2020,0.4,75,9,HE,15,3,L
TEKARRA-2,52.86022928,-118.0553,2020,0.5,65,9,HE,15,8,L
TEKARRA-3,52.86008871,-118.0509,2020,0.5,65,9,HE,20,9,L
TEKARRA-4,52.85796331,-118.0483,2020,-99999,-99999,0,,-99999,0,L
TEKARRA-5,52.85183061,-118.0464,2020,0.4,75,9,HE,15,8,L
TEKARRA-6,52.84866317,-118.0416,2020,1.5,70,9,HG,25,9,L
TEKARRA-7,52.85110432,-118.039,2020,0.5,60,9,,-99999,0,L
TEKARRA-8,52.85392676,-118.0391,2020,0.5,60,9,,-99999,0,L
TEKARRA-9,52.85667568,-118.0403,2020,0.5,60,9,,-99999,0,L
VALLEY5-1,52.81101116,-118.0159,2020,0.5,65,9,,-99999,0,L
VALLEY5-10,52.79787948,-117.9824,2020,0.4,20,3,HG,50,8,N
VALLEY5-2,52.81090412,-118.0116,2020,0.3,15,8,HG,75,9,L
VALLEY5-3,52.80854202,-118.0092,2020,0.5,60,9,HG,10,3,L
VALLEY5-4,52.80613507,-118.0068,2020,0.5,60,9,HG,10,3,L
VALLEY5-5,52.80405996,-118.0039,2020,0.5,60,9,HG,10,3,L
VALLEY5-6,52.80245357,-117.9999,2020,-99999,-99999,0,HE,20,3,N
VALLEY5-7,52.80139368,-117.9955,2020,0.4,25,3,HE,55,8,L
VALLEY5-8,52.79979198,-117.9903,2020,-99999,-99999,0,HE,20,3,N
VALLEY5-9,52.79868113,-117.9866,2020,0.4,20,6,HE,60,8,L
WATCHTOWER-1,52.87399211,-117.8365,2020,0.5,35,8,HE,60,8,H
WATCHTOWER-10,52.853307,-117.8131,2020,0.5,25,6,,-99999,0,L
WATCHTOWER-2,52.87210844,-117.832,2020,0.5,35,8,HE,60,8,H
WATCHTOWER-3,52.86986277,-117.8292,2020,0.5,35,8,HE,60,8,H
WATCHTOWER-4,52.86839786,-117.8253,2020,0.5,35,8,HE,60,8,H
WATCHTOWER-5,52.86612125,-117.823,2020,1,10,3,HE,10,3,N
WATCHTOWER-6,52.86349813,-117.8214,2020,0.5,20,6,HE,40,8,N
WATCHTOWER-7,52.86071341,-117.8198,2022,-99999,-99999,0,,-99999,0,N
WATCHTOWER-8,52.85810899,-117.8181,2022,-99999,-99999,0,,-99999,0,N
WATCHTOWER-9,52.85567924,-117.8159,2020,-99999,-99999,0,,-99999,0,N
WILCOX-1,52.26999326,-117.2593,2020,0.3,34,8,HE,12,3,L
WILCOX-10,52.26282522,-117.248,2020,0.3,14,5,HE,3,3,
WILCOX-2,52.26774255,-117.2567,2020,0.7,52,8,,-99999,0,L
WILCOX-3,52.2653729,-117.2549,2020,0.7,52,8,,-99999,0,L
WILCOX-4,52.26263403,-117.2533,2020,2.3,59,8,HE,23,8,N
WILCOX-5,52.26033789,-117.2508,2020,2.3,59,8,HE,23,8,N
WILCOX-6,52.25814996,-117.2481,2020,2.3,59,8,HE,23,8,N
WILCOX-7,52.25653837,-117.2448,2020,2.3,59,8,HE,23,8,N
WILCOX-8,52.25868406,-117.242,2020,0.2,6,3,HE,20,8,
WILCOX-9,52.26077316,-117.2447,2020,0.2,6,3,HE,20,8,
