Point_ID,latitude,longitude,REFERENCE_YEAR,LANDCOVER_CODE_1,LANDCOVER_CODE_2,LANDCOVER_CODE_3,LANDCOVER_PCT_1,LANDCOVER_PCT_2,LANDCOVER_PCT_3,VEGETATION_DENSITY
MAJESTIC-9,52.73723206,-118.2413,2020,Shrub Low,,,100,0,0,Open
MUSHROOM-1,53.06593702,-118.0644,2020,Tree Coniferous,,,100,0,0,Open
MUSHROOM-2,53.06382302,-118.0674,2020,Herbaceous Graminoid,,,100,0,0,Dense
MUSHROOM-3,53.06123796,-118.0693,2020,Herbaceous Graminoid,,,100,0,0,Dense
MUSHROOM-4,53.05912899,-118.0724,2020,Tree Coniferous,,,100,0,0,Open
MUSHROOM-5,53.05649699,-118.0757,2020,Tree Coniferous,,,100,0,0,Sparse
MUSHROOM-6,53.05637101,-118.0823,2020,Tree Coniferous,,,100,0,0,Sparse
MUSHROOM-7,53.05832701,-118.0789,2020,Tree Coniferous,,,100,0,0,Sparse
MUSHROOM-8,53.06098198,-118.0775,2020,Tree Coniferous,,,100,0,0,Sparse
MUSHROOM-9,53.06283102,-118.0739,2020,Tree Coniferous,,,100,0,0,Sparse
OPAL-1,52.74501557,-117.614,2020,Tree Coniferous,,,100,0,0,Sparse
OPAL-10,52.74553207,-117.6236,2020,Tree Coniferous,,,100,0,0,Open
OPAL-2,52.74313476,-117.6109,2020,Tree Coniferous,,,100,0,0,Sparse
OPAL-3,52.74895314,-117.6123,2020,Shrub Low,,,100,0,0,Dense
OPAL-4,52.75143435,-117.614,2020,Shrub Low,,,100,0,0,Dense
OPAL-5,52.7537931,-117.6168,2020,Herbaceous Mixed,,,100,0,0,Dense
OPAL-6,52.75581457,-117.6205,2020,Tree Coniferous,,,100,0,0,Open
OPAL-7,52.7538636,-117.624,2020,Tree Coniferous,,,100,0,0,Open
OPAL-8,52.75056448,-117.6222,2020,Tree Coniferous,,,100,0,0,Open
OPAL-9,52.7479422,-117.6217,2020,Tree Coniferous,,,100,0,0,Open
POBOKTAN-1,52.39019914,-117.1802,2020,Shrub Low,,,100,0,0,Open
POBOKTAN-10,52.38189066,-117.1416,2020,Shrub Low,,,100,0,0,Open
POBOKTAN-2,52.38869442,-117.1765,2020,Shrub Low,,,100,0,0,Open
POBOKTAN-3,52.38642468,-117.1732,2020,Shrub Low,,,100,0,0,Open
POBOKTAN-4,52.38614372,-117.1686,2020,Shrub Low,,,100,0,0,Dense
POBOKTAN-5,52.38628495,-117.1641,2020,Shrub Low,,,100,0,0,Dense
POBOKTAN-6,52.38533814,-117.1596,2020,Shrub Low,,,100,0,0,Open
POBOKTAN-7,52.38491284,-117.1548,2020,Shrub Low,,,100,0,0,Open
POBOKTAN-8,52.38404715,-117.1499,2020,Shrub Low,,,100,0,0,Open
POBOKTAN-9,52.38297335,-117.1458,2020,Shrub Low,,,100,0,0,Open
PYRAMID-1,52.90577721,-118.0877,2020,Treed Broadleaf,,,100,0,0,Open
PYRAMID-10,52.91838745,-118.0642,2020,Tree Coniferous,,,100,0,0,Open
PYRAMID-2,52.90854416,-118.0869,2020,Treed Mixed,,,100,0,0,Sparse
PYRAMID-3,52.91173037,-118.0885,2022,Treed Broadleaf,,,100,0,0,Open
PYRAMID-4,52.91401327,-118.0866,2020,Tree Coniferous,,,100,0,0,Open
PYRAMID-5,52.91377002,-118.0817,2020,Shrub Low,,,100,0,0,Open
PYRAMID-6,52.91230353,-118.0779,2020,Tree Coniferous,,,100,0,0,Sparse
PYRAMID-7,52.91329393,-118.0738,2020,Tree Coniferous,,,100,0,0,Open
PYRAMID-8,52.91309444,-118.069,2020,Tree Coniferous,,,100,0,0,Open
PYRAMID-9,52.91561128,-118.065,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-1,53.11740367,-117.7688,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-2,53.11545504,-117.7657,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-3,53.11404336,-117.7616,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-4,53.11272724,-117.7579,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-5,53.11099,-117.754,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-6,53.11007973,-117.7501,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-7,53.10938847,-117.7457,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-8,53.10872446,-117.7412,2020,Tree Coniferous,,,100,0,0,Open
SULPHUR-9,53.10779843,-117.7369,2020,Tree Coniferous,,,100,0,0,Open
SUNWAPTA-1,52.52920252,-117.6404,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-10,52.50596437,-117.6467,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-2,52.52667697,-117.642,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-3,52.52397163,-117.6435,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-4,52.52158564,-117.6458,2020,Tree Coniferous,,,100,0,0,Open
SUNWAPTA-5,52.51952872,-117.6487,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-6,52.51681088,-117.6492,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-7,52.51386984,-117.6495,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-8,52.51134303,-117.6479,2020,Tree Coniferous,,,100,0,0,Sparse
SUNWAPTA-9,52.50861942,-117.6478,2020,Tree Coniferous,,,100,0,0,Sparse
TEKARRA-1,52.86128506,-118.0599,2020,Tree Coniferous,,,100,0,0,Sparse
TEKARRA-10,52.85945294,-118.0424,2020,Treed Broadleaf,,,100,0,0,Sparse
TEKARRA-2,52.86022928,-118.0553,2020,Tree Coniferous,,,100,0,0,Sparse
TEKARRA-3,52.86008871,-118.0509,2020,Shrub Low,,,100,0,0,Dense
TEKARRA-4,52.85796331,-118.0483,2020,Tree Coniferous,,,100,0,0,Open
TEKARRA-5,52.85183061,-118.0464,2020,Treed Broadleaf,,,100,0,0,Sparse
TEKARRA-6,52.84866317,-118.0416,2020,Shrub Low,,,100,0,0,Dense
TEKARRA-7,52.85110432,-118.039,2020,Tree Coniferous,,,100,0,0,Sparse
TEKARRA-8,52.85392676,-118.0391,2020,Tree Coniferous,,,100,0,0,Sparse
TEKARRA-9,52.85667568,-118.0403,2020,Tree Coniferous,,,100,0,0,Sparse
VALLEY5-1,52.81101116,-118.0159,2020,Tree Coniferous,,,100,0,0,Sparse
VALLEY5-10,52.79787948,-117.9824,2020,Tree Coniferous,,,100,0,0,Sparse
VALLEY5-2,52.81090412,-118.0116,2020,Tree Coniferous,Herbaceous Graminoid,,70,30,0,Sparse
VALLEY5-3,52.80854202,-118.0092,2020,Tree Coniferous,,,100,0,0,Sparse
VALLEY5-4,52.80613507,-118.0068,2020,Tree Coniferous,,,100,0,0,Sparse
VALLEY5-5,52.80405996,-118.0039,2020,Tree Coniferous,,,100,0,0,Sparse
VALLEY5-6,52.80245357,-117.9999,2020,Exposed Soil,,,100,0,0,Sparse
VALLEY5-7,52.80139368,-117.9955,2020,Tree Coniferous,,,100,0,0,Sparse
VALLEY5-8,52.79979198,-117.9903,2020,Exposed Soil,,,100,0,0,Sparse
VALLEY5-9,52.79868113,-117.9866,2020,Tree Coniferous,,,100,0,0,Sparse
WATCHTOWER-1,52.87399211,-117.8365,2020,Shrub Low,,,100,0,0,Open
WATCHTOWER-10,52.853307,-117.8131,2020,Tree Coniferous,,,100,0,0,Open
WATCHTOWER-2,52.87210844,-117.832,2020,Shrub Low,,,100,0,0,Open
WATCHTOWER-3,52.86986277,-117.8292,2020,Shrub Low,,,100,0,0,Open
WATCHTOWER-4,52.86839786,-117.8253,2020,Shrub Low,,,100,0,0,Open
WATCHTOWER-5,52.86612125,-117.823,2020,Tree Coniferous,,,100,0,0,Open
WATCHTOWER-6,52.86349813,-117.8214,2020,Tree Coniferous,,,100,0,0,Open
WATCHTOWER-7,52.86071341,-117.8198,2022,Tree Coniferous,,,100,0,0,Dense
WATCHTOWER-8,52.85810899,-117.8181,2022,Tree Coniferous,,,100,0,0,Dense
WATCHTOWER-9,52.85567924,-117.8159,2020,Tree Coniferous,,,100,0,0,Open
WILCOX-1,52.26999326,-117.2593,2020,Tree Coniferous,,,100,0,0,Open
WILCOX-10,52.26282522,-117.248,2020,Shrub Low,,,100,0,0,Sparse
WILCOX-2,52.26774255,-117.2567,2020,Tree Coniferous,,,100,0,0,Sparse
WILCOX-3,52.2653729,-117.2549,2020,Tree Coniferous,,,100,0,0,Sparse
WILCOX-4,52.26263403,-117.2533,2020,Shrub Tall,,,100,0,0,Open
WILCOX-5,52.26033789,-117.2508,2020,Shrub Tall,,,100,0,0,Open
WILCOX-6,52.25814996,-117.2481,2020,Shrub Tall,,,100,0,0,Open
WILCOX-7,52.25653837,-117.2448,2020,Shrub Tall,,,100,0,0,Open
WILCOX-8,52.25868406,-117.242,2020,Herbaceous Mixed,,,100,0,0,Sparse
WILCOX-9,52.26077316,-117.2447,2020,Herbaceous Mixed,,,100,0,0,Sparse
