Point_ID,latitude,longitude,REFERENCE_YEAR,DOM_LAYER_PCT,DOM_LAYER_BASAL_AREA,DOM_LAYER_STEMS_PER_HA,DOM_LAYER_VERTICAL_COMPLEXITY,DOM_LAYER_COVER_PATTERN,DOM_LAYER_SPECIES_CODE,DOM_LAYER_HEIGHT,DOM_LAYER_AGE
TEKARRA-6,52.84866317,-118.0416,2020,5,1,85,4,1,SB,12,120
TEKARRA-7,52.85110432,-118.039,2020,10,8,150,4,9,PLI,17.3,110
TEKARRA-8,52.85392676,-118.0391,2020,10,8,150,4,9,PLI,17.3,110
TEKARRA-9,52.85667568,-118.0403,2020,10,8,150,4,9,PLI,17.3,110
VALLEY5-1,52.81101116,-118.0159,2020,15,6,175,4,9,PLI,15.1,80
VALLEY5-10,52.79787948,-117.9824,2020,25,7,370,4,8,FDI,16.6,82
VALLEY5-2,52.81090412,-118.0116,2020,10,4,225,4,8,FDI,11.1,45
VALLEY5-3,52.80854202,-118.0092,2020,20,5,450,4,8,FDI,12.3,59
VALLEY5-4,52.80613507,-118.0068,2020,20,5,450,4,8,FDI,12.3,59
VALLEY5-5,52.80405996,-118.0039,2020,20,5,450,4,8,FDI,12.3,59
VALLEY5-6,52.80245357,-117.9999,2020,3,1,35,4,3,FDI,17.2,144
VALLEY5-7,52.80139368,-117.9955,2020,15,10,210,4,8,SW,13.9,76
VALLEY5-8,52.79979198,-117.9903,2020,3,1,35,4,3,FDI,17.2,144
VALLEY5-9,52.79868113,-117.9866,2020,10,10,135,3,8,SW,20.5,98
WATCHTOWER-1,52.87399211,-117.8365,2020,0,0,0,,,NA,0,0
WATCHTOWER-10,52.853307,-117.8131,2020,40,28,625,4,9,SE,19.1,175
WATCHTOWER-2,52.87210844,-117.832,2020,0,0,0,,,NA,0,0
WATCHTOWER-3,52.86986277,-117.8292,2020,0,0,0,,,NA,0,0
WATCHTOWER-4,52.86839786,-117.8253,2020,0,0,0,,,NA,0,0
WATCHTOWER-5,52.86612125,-117.823,2020,45,35,585,4,8,SX,24.8,182
WATCHTOWER-6,52.86349813,-117.8214,2020,35,20,525,5,8,SX,16.2,130
WATCHTOWER-7,52.86071341,-117.8198,2022,70,34,1500,3,9,BL,17.3,124
WATCHTOWER-8,52.85810899,-117.8181,2022,70,34,1500,3,9,BL,17.3,124
WATCHTOWER-9,52.85567924,-117.8159,2020,55,35,915,4,9,BL,18.5,134
WILCOX-1,52.26999326,-117.2593,2020,36,18,480,4,8,PLI,15.8,144
WILCOX-10,52.26282522,-117.248,2020,,,,,,,,
WILCOX-2,52.26774255,-117.2567,2020,22,19,355,4,8,SE,17.4,165
WILCOX-3,52.2653729,-117.2549,2020,22,19,355,4,8,SE,17.4,165
WILCOX-4,52.26263403,-117.2533,2020,3,0,165,2,3,BL,3.2,45
WILCOX-5,52.26033789,-117.2508,2020,3,0,165,2,3,BL,3.2,45
WILCOX-6,52.25814996,-117.2481,2020,3,0,165,2,3,BL,3.2,45
WILCOX-7,52.25653837,-117.2448,2020,3,0,165,2,3,BL,3.2,45
WILCOX-8,52.25868406,-117.242,2020,,,,,,,,
WILCOX-9,52.26077316,-117.2447,2020,,,,,,,,
